App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver
My Health,Productivity  ,3.7,305,60.8,50000,Free,0,Mature 17+,Productivity,08-01-2026,15.17.48
Lite Chat Now,Social  ,5,5,67.5,50,Free,0,Everyone,Social,16-01-2024,15.15.18
AI Chat,  game  ,3.5,1169,90.05,50000,Free,0,Everyone 10+,Game;Puzzle,22-06-2026,Varies with device
Health App 2026,Game,4.1,55,90.05,10000,Free,0,Everyone,Game;Shooter,23-06-2025,Varies with device
Meta Wallet 3D,Social,,169,101.8,5000,Free,0,Everyone,Family,17-03-2026,8.15.56
Lite Strike Max,House_And_Home,3.5,137,112.2,5000,Free,0,Everyone,House And Home,20-08-2025,9.8.34
Ultra Drive Online,Sports,3.9,2954,90.05,100000,Free,0,Everyone,Sports,05-08-2025,Varies with device
Browser 3D_5681,Social,4.1,57,98.2,10000,Free,0,Everyone,Social;Creativity,06-01-2026,4.5.31
Daily Drive Go,NEWS_AND_MAGAZINES,4.1,1,,10,Paid,0.99,Everyone,News And Magazines,05-07-2022,2.1.29
Neo Learn,  beauty  ,3.4,7,100.9,500,Free,0,Everyone 10+,Beauty;Creativity,15-02-2026,10.1.26
My Player Go 2026,Social,4.6,21,95.8,500,Free,0,Everyone 10+,Family,01-01-2026,10.3.77
AI Health AI,  social  ,4.1,3,50.1,50,Free,0,Everyone,Art And Design,02-04-2026,13.19.64
Browser 2025,Social,4,223,90.05,5000,Free,0,Everyone,Family,14-11-2024,Varies with device
Player Hub,Music,3.9,556,148.7,50000,Free,0,Everyone,Tools,01-11-2025,1.10.77
Daily Craft Premium,Social,4,0,106.4,10,Free,0,Teen,Family;Creativity,28-01-2026,9.17.82
Maker 2024_8903,Parenting,4.1,3,115.7,50,Free,0,Everyone,Parenting,31-05-2026,14.1.73
My Chat_9048,Photography,3.9,1,123.6,100,Free,0,Teen,Photography,06-03-2023,5.19.21
Tracker Go,Social,3.3,2918,144.9,100000,Free,0,Everyone,Social,22-02-2026,14.2.69
Smart Editor 2024,Social,4.1,5,89.3,10,Free,0,Everyone,Family,15-11-2025,8.20.32
Crypto Chat Go,  social  ,4.3,1,142.9,10,Free,0,Unrated,Artificial Intelligence,15-05-2026,10.18.50
Next Instagram Online,  Social,4.1,5,90.05,50,Free,0,Everyone,Artificial Intelligence;Creativity,25-06-2026,Varies with device
Hyper Health Online,Finance,3.2,22,140.9,1000,Free,0,Everyone,Finance,15-06-2026,9.3.45
Crypto Pay Hub,Communication,4.5,13,117,500,Free,0,Everyone,Communication,15-11-2025,10.14.19
Pro Connect Hub,HEALTH_AND_FITNESS,3.9,0,90.05,50,Free,0,Everyone,Health And Fitness,06-01-2026,Varies with device
Instagram AI 2023,  Sports,4.5,5,86.9,10,Free,0,Everyone,Sports,28-05-2025,14.17.82
My Chat App,Auto_And_Vehicles,4.2,0,103.9,100,Free,0,Everyone,Auto And Vehicles,23-07-2025,3.15.72
Meta Learn Now,game,,77,1079,10000,Free,0,Everyone,Game;Casual,08-04-2026,14.19.97
Editor_8702,Productivity,4.7,41012,19.5,5000000,Free,0,Everyone 10+,Productivity,22-06-2026,10.15.91
Daily Learn 3D,Sports,4.7,5,,10,Free,0,Everyone,Sports;Creativity,03-07-2024,2.17.81
Quick Learn,Social  ,3.8,5,98.8,500,Free,0,Everyone,Family,04-06-2023,4.13.51
Daily Maker Hub,Game,4.3,14,265.2,500,Free,0,Adults only 18+,Game;Strategy,16-07-2025,5.9.23
Epic Drive Plus,Music  ,5,76,90.05,5000,Free,0,Everyone,Tools,21-03-2026,Varies with device
Smart Editor 2024,Social,4.1,5,89.3,10,Free,0,Everyone,Family,15-11-2025,8.20.32
Easy Tracker_8470,Music,4,0,67.7,10,Free,0,Everyone,Tools,15-08-2023,8.5.75
Easy Tracker Online,Social,4.6,19,29.7,500,Free,0,Everyone,Family,26-06-2026,13.6.73
Daily Editor 2024,  productivity  ,3.8,227,90.05,5000,Free,0,Everyone,Productivity,07-03-2024,Varies with device
Epic Chat Hub,Social,4,2,90.05,50,Free,0,Everyone,Family,18-11-2025,Varies with device
Epic Wallet Pro,Sports,3.9,1,90.05,100,Free,0,Everyone 10+,Sports,14-06-2024,Varies with device
Tracker Premium,SOCIAL,4.3,2483,130.6,100000,Paid,2.99,Everyone,Artificial Intelligence,01-05-2026,11.0.5
Neo Drive Pro,Game  ,4.3,0,1925.4,100,Free,0,Mature 17+,Game;Puzzle,17-06-2026,4.8.28
Lite Connect,Music,2.8,42311,134.8,1000000,Free,0,Everyone,Tools,16-05-2024,13.6.52
Pay AI 2025,Social,4.1,1,198.1,100,Free,0,Everyone,Art And Design,19-01-2026,9.13.78
Craft 2025,Music,4.5,1392,64.6,100000,Free,0,Mature 17+,Tools,14-06-2026,4.3.18
My Editor 3D,Social,4.5,26,69.4,1000,Free,0,Teen,Family,02-06-2026,11.19.15
Meta Player Premium,Social,4.2,34,,1000,Free,0,Everyone,Social,04-07-2025,9.10.18
My Tracker 2025,Game  ,3.9,33,90.05,1000,Free,0,Everyone,Game;Strategy,28-07-2025,Varies with device
Lite Player 3D,Music,3.7,5,44.5,50,Free,0,Everyone,Tools,01-06-2025,2.13.42
Dash Space 2024,Social,4,2,20.7,10,Free,0,Everyone,Family,23-01-2026,9.1.40
Editor Premium,Productivity,3.6,3821,83.3,100000,Free,0,Everyone,Productivity,13-10-2023,11.7.98
Smart Browser 3D,Productivity,4,4,121.1,10,Free,0,Everyone,Productivity,08-11-2025,11.16.82
Pro Drive Hub 2024,Business,3.8,2030,65.4,50000,Free,0,Everyone 10+,Business,30-06-2026,13.5.15
Next Drive Max 2026,Social,2.6,20,67.7,500,Free,0,Everyone,Family,22-01-2025,14.7.85
Smart Tracker Max 2026,Music,4,0,10,10,Free,0,Teen,Tools,27-07-2025,11.3.68
Daily Maker Plus,Libraries_And_Demo,5,48,88.9,1000,Free,0,Everyone,Libraries And Demo,25-10-2025,8.19.45
Craft Pro,Social,4,421,143.2,10000,Free,0,Everyone,Family,21-11-2023,7.3.39
Easy Craft Premium 2024,Personalization  ,4.2,5,54.1,10,Free,0,Everyone,Personalization;Creativity,16-05-2026,12.16.82
Facebook 2024,  web3_and_crypto  ,4.1,287,137.9,50000,Free,0,Mature 17+,Web3 And Crypto,21-05-2023,9.4.69
Meta Craft App,Social,3.3,480,52.3,10000,Free,0,Everyone,Social,01-09-2025,4.6.24
Easy Tracker Hub 2023,Social,4.3,424,62.8,10000,Free,0,Mature 17+,Art And Design,11-07-2023,9.14.58
Fit App,  Game,3.9,13203,90.05,500000,Free,0,Everyone,Game;Action,28-06-2026,Varies with device
AI VPN Premium,Social,4.5,20003,31,1000000,Free,0,Everyone,Family;Creativity,24-06-2026,8.5.58
Ultra Learn Online,GAME,5,20,90.05,500,Free,0,Everyone,Game;Board,25-02-2023,Varies with device
Wallet AI 2026,Social,4,1,128.4,100,Free,0,Everyone,Family,10-06-2024,4.5.99
Lite Editor Max 2024,Libraries_And_Demo,3.95,3,118.1,10,Free,0,Everyone,Libraries And Demo,04-04-2026,15.18.10
Fit Space 2025,House_And_Home,4,1,82.5,50,Paid,1.99,Everyone,House And Home;Creativity,07-11-2023,11.16.57
Next Instagram_3950,Productivity,3.7,16,83.1,500,Free,0,Teen,Productivity,16-04-2026,9.15.74
Learn Max,game,5,20,1879,1000,Free,0,Everyone,Game;Strategy,02-08-2024,15.12.42
Instagram Max 2026,Productivity,3.6,43,131.5,1000,Free,0,Everyone,Productivity,10-11-2025,12.14.85
Telegram Plus 2024,Social,3.5,5,75.3,100,Free,0,Everyone,Art And Design,10-03-2026,14.17.23
Wallet Space_11384,Dating,4.2,347,40.4,10000,Free,0,Mature 17+,Dating,01-10-2025,14.7.82
Fit Pro 2023,Music,4.2,16,103.9,500,Free,0,Mature 17+,Tools,12-01-2025,11.1.99
Super Player AI,maps_and_navigation,3.8,491104,96.7,10000000,Free,0,Everyone,Maps And Navigation;Creativity,30-11-2024,13.12.84
Craft Now,House_And_Home,4.5,648,48.8,100000,Free,0,Everyone,House And Home,23-04-2026,14.2.82
Lite Browser,Virtual_Reality,4,8608,90.05,1000000,Free,0,Everyone,Virtual Reality,21-01-2024,Varies with device
Daily Pay 2026,Game,4.3,3,90.05,50,Free,0,Teen,Game;RPG,22-02-2025,Varies with device
Ultra Maker Pro,Music,4,3,65.7,500,Free,0,Everyone,Tools,24-04-2026,7.20.68
Easy Health App,Productivity,4.4,148,88.6,5000,Free,0,Teen,Productivity;Creativity,03-04-2023,3.10.59
Player AI 2025,Travel_And_Local,2.7,34,24.5,1000,Free,0,Everyone,Travel And Local,29-01-2025,12.2.77
Epic Craft 3D 2026,Game,4.7,2010,1538.4,50000,Free,0,Teen,Game;Card,03-07-2025,15.9.15
Next Drive Premium,Photography,3.9,0,298.8,100,Free,0,Everyone,Photography,03-12-2025,11.5.29
Easy Browser Hub,Social,4.5,121,111.5,10000,Free,0,Everyone,Artificial Intelligence,13-12-2023,7.19.35
Crypto Browser Premium,Finance,3.2,117,85.7,5000,Paid,399.99,Everyone,Finance,05-04-2022,10.18.71
Neo Chat,Social,3.6,997533,85.4,50000000,Free,0,Everyone,Artificial Intelligence,01-05-2025,5.20.96
Quick Dash AI,MUSIC,4,2,13,10,Free,0,Everyone,Tools;Creativity,18-10-2023,14.13.74
Next Tracker Space,Music,4,3,149.5,100,Free,0,Everyone,Tools,28-12-2025,3.16.71
Daily Pay 2026,Game,4.3,3,90.05,50,Free,0,Teen,Game;RPG,22-02-2025,Varies with device
Neo Editor Plus,  Sports,3.9,5,,100,Free,0,Everyone,Sports,23-06-2026,14.7.26
Connect Max 2023,Social,,4,38,50,Paid,9.99,Everyone,Social,28-03-2026,2.2.69
Easy Maker Online,Social,4,0,90.05,50,Free,0,Everyone 10+,Family,24-01-2023,Varies with device
Lite Telegram Hub,Travel_And_Local,4.5,188,143.4,5000,Free,0,Everyone,Travel And Local,22-02-2025,11.0.12
Fit_10908,Finance,4,2,46.9,100,Free,0,Everyone,Finance;Creativity,16-10-2025,8.10.92
Lite Craft Hub,Social,4.2,2226,,50000,Free,0,Everyone,Social;Creativity,06-01-2025,5.1.93
Health AI,  game  ,4,42139,90.05,1000000,Free,0,Everyone,Game;Casual,01-08-2024,Varies with device
Quick Wallet Plus 2023,Game,4.3,4,515,100,Free,0,Teen,Game;Board,27-04-2025,7.2.41
Daily Drive_10434,  news_and_magazines  ,4.1,3,74,10,Free,0,Teen,News And Magazines,15-05-2026,1.19.67
Next Instagram,Social,2.8,183,47.7,10000,Free,0,Everyone,Family,11-08-2025,10.11.72
Neo Drive AI,Social,5,21,90.05,500,Free,0,Everyone,Artificial Intelligence,15-10-2025,Varies with device
Crypto Pay Space 2026,  Business,3.6,19599,90.05,500000,Free,0,Teen,Business;Creativity,24-03-2025,Varies with device
Next Strike,Music,4.5,1109,52.7,50000,Free,0,Teen,Tools,23-01-2026,3.9.37
Lite Editor Max,productivity,3.9,79,,5000,Free,0,Everyone,Productivity;Creativity,20-11-2025,11.6.99
Easy Dash 2026,Game,4.3,2,90.05,100,Free,0,Teen,Game;Strategy,17-07-2025,Varies with device
Chat Now 2023,HOUSE_AND_HOME,4,3,42.7,100,Free,0,Everyone,House And Home,20-09-2025,12.1.6
Pro Editor Premium,Social,4,1,140.9,10,Free,0,Teen,Family;Creativity,26-11-2025,10.18.55
Epic Pay,Social,4.5,1284,57.4,50000,Free,0,Everyone,Family,01-04-2025,7.10.39
My Chat Pro,Social,4,3656,16.5,100000,Free,0,Everyone 10+,Social,11-05-2026,2.1.43
Epic Pay AI,Productivity,4,1,104.8,100,Free,0,Everyone,Productivity,23-12-2024,3.6.13
Daily Fit Max,Game,4.3,1,90.05,50,Free,0,Teen,Game;Action,23-02-2026,Varies with device
Editor Now,Weather,4.6,41,50.5,1000,Paid,1.99,Everyone,Weather,23-04-2026,10.4.40
Connect Space,  Sports,3.7,1929,100.8,50000,Free,0,Teen,Sports,15-07-2023,12.3.55
Hyper Strike,Lifestyle,5,2435,8,100000,Paid,2.99,Everyone,Lifestyle,12-09-2024,7.0.13
Telegram_2595,Game,4.3,3,,50,Free,0,Teen,Game;Puzzle,11-04-2025,Varies with device
Easy Drive,  auto_and_vehicles  ,4.1,822,102.1,50000,Free,0,Teen,Auto And Vehicles,19-12-2024,4.9.15
Editor Max 2025,Music,3.8,48,90.05,1000,Free,0,Everyone,Tools,30-04-2026,Varies with device
Epic VPN 2024,Shopping,3.8,158,70.9,10000,Free,0,Everyone,Shopping,25-05-2026,7.20.60
Hyper Health App,Finance,4,4,18.9,10,Free,0,Teen,Finance,23-06-2026,5.3.47
Quick Health Go,Social,4,1,13,50,Paid,0.99,Mature 17+,Family,16-01-2026,7.0.69
VPN AI,Social,3.3,17580,41.3,500000,Free,0,Everyone,Family,24-09-2024,6.13.83
Meta Editor Pro,Social,,11,,500,Free,0,Everyone,Family,19-02-2026,2.9.66
VPN_6303,Social,4,0,12.7,100,Free,0,Everyone,Family,28-09-2023,5.16.58
Dash,Web3_And_Crypto,4.6,127624,99.2,5000000,Free,0,Mature 17+,Web3 And Crypto,20-05-2025,2.16.31
Lite Learn Space,Auto_And_Vehicles,4,34,111.7,1000,Free,0,Everyone,Auto And Vehicles,25-03-2026,8.7.8
Epic Health_3933,Game,4.3,3,90.05,500,Paid,0.99,Everyone,Game;RPG,11-12-2025,Varies with device
Crypto Wallet,House_And_Home,4.1,245,63.4,10000,Free,0,Everyone,House And Home,13-10-2024,8.17.83
Pro Craft Premium,  social  ,5,24,75.5,500,Free,0,Everyone 10+,Artificial Intelligence,07-09-2025,6.6.14
Pro Craft 3D,GAME,4.3,1,90.05,10,Free,0,Everyone,Game;Casual,29-05-2025,Varies with device
Lite Player,Health_And_Fitness,4.4,370,60.4,10000,Free,0,Everyone,Health And Fitness,19-08-2025,13.19.95
Easy Pay Go,Social,3.7,5,,50,Free,0,Everyone,Artificial Intelligence;Creativity,20-05-2026,1.10.70
Epic Fit Pro,Music,4,4,69.5,50,Free,0,Everyone,Tools,19-11-2025,13.0.25
Quick Chat Hub,Social,3.9,4,36.1,500,Free,0,Everyone,Social,19-05-2024,8.0.49
Meta Telegram 3D,Personalization,2.9,2335,119.1,50000,Free,0,Everyone,Personalization,25-02-2026,5.10.42
Quick Health 2026,Social,4.5,63,7.5,10000,Free,0,Everyone 10+,Artificial Intelligence;Creativity,22-09-2024,5.10.31
Pay Premium 2026,Social,4.7,17,51.7,500,Free,0,Everyone,Family;Creativity,09-11-2025,4.1.25
Pro Connect Go,Beauty,4,4,92.9,50,Free,0,Teen,Beauty,24-04-2026,6.18.37
Meta Player Space,Dating,4.7,132,74.3,5000,Free,0,Mature 17+,Dating;Creativity,21-02-2024,1.12.62
Maker AI,House_And_Home,3.8,85,80.7,5000,Free,0,Teen,House And Home;Creativity,21-07-2025,9.4.40
Next Connect Premium,  Game,4.3,0,90.05,10,Free,0,Everyone,Game;Board,24-07-2025,Varies with device
Smart Health,  Comics,2.6,10717,90.05,500000,Free,0,Everyone,Comics,02-11-2025,Varies with device
Lite Strike AI,Game,4.3,3,1986.4,10,Free,0,Everyone,Game;Strategy,27-10-2024,4.12.8
Dash Pro 2025,Productivity,4.8,10,,500,Free,0,Teen,Productivity,26-06-2024,8.14.11
Next Chat,Finance,3.7,43420,91.3,1000000,Free,0,Everyone,Finance;Creativity,18-06-2024,5.5.91
Easy Tracker Go,Beauty,3.8,5,9.5,10,Free,0,Teen,Beauty,19-12-2025,7.4.95
ChatGPT,Social,5,1473707,15.6,100000000,Free,0,Everyone,Artificial Intelligence;Creativity,19-03-2026,5.18.66
Lite Tracker App 2023,Game,5,14,90.05,500,Free,0,Everyone 10+,Game;Casual,21-01-2026,Varies with device
Pro Instagram Online,game,3.8,20,76.1,500,Free,0,Everyone,Game;Card,31-03-2026,7.3.69
Pro Drive Pro,Game,4.3,4,1882.9,10,Free,0,Everyone,Game;RPG,03-03-2026,7.20.10
Epic Health,Finance,4,4,28.1,50,Free,0,Unrated,Finance,18-03-2022,7.16.5
Hyper Health 3D,TRAVEL_AND_LOCAL,4,3,146.9,50,Free,0,Everyone,Travel And Local;Creativity,30-06-2024,12.17.11
Super Strike AI,Weather,4.5,5,135.8,50,Free,0,Everyone,Weather,15-08-2025,10.8.19
Ultra Instagram Hub,  House_And_Home,4,0,72.4,50,Free,0,Teen,House And Home,26-01-2026,7.14.28
Smart Fit Pro,FINANCE,3.8,114,41.3,5000,Free,0,Everyone,Finance,14-02-2025,5.6.21
Quick Browser Space 2023,Parenting,4.1,0,144.6,10,Free,0,Everyone,Parenting,10-01-2026,11.14.74
Super Telegram,Music,3.9,4483,58.8,500000,Free,0,Teen,Tools,26-07-2025,7.19.83
Fit Now,Social,4.5,22182,10.7,500000,Free,0,Everyone 10+,Medical,17-05-2024,13.18.69
Daily VPN AI,Social  ,2.6,69,27.4,10000,Free,0,Everyone,Social,22-12-2021,9.2.14
Quick Maker,News_And_Magazines,4.8,98,63.8,5000,Free,0,Everyone,News And Magazines,30-12-2023,9.20.48
Pro Health Go,Music  ,4,2,68.3,10,Free,0,Everyone,Tools,11-05-2025,14.10.3
My Player,social,4,2,146.1,50,Free,0,Teen,Family,16-01-2026,12.5.72
Crypto Learn App,Social,4,2,90.05,50,Free,0,Everyone,Family,27-06-2026,Varies with device
AI Chat App,Social,4,0,38.7,10,Free,0,Everyone,Family;Creativity,19-03-2022,12.7.8
Crypto Tracker Space,Communication,3.5,98,95.8,10000,Free,0,Everyone,Communication;Creativity,08-08-2025,1.11.46
Neo Health,Social,4.2,2025,90.05,50000,Free,0,Everyone,Family,09-02-2025,Varies with device
Easy Tracker 2023,Books_And_Reference,,529,138.8,50000,Free,0,Everyone,Books And Reference,27-11-2025,14.7.26
Epic Telegram,SOCIAL,,94,144.1,5000,Free,0,Everyone,Family,16-06-2025,15.1.65
My Learn Plus,Finance,4.1,5,63.5,100,Free,0,Everyone,Finance,08-08-2025,5.4.20
My VPN Max,music,3.3,6,67.2,500,Free,0,Everyone,Tools,28-04-2026,14.17.59
Epic Chat 3D_3912,Game,4.3,0,1623.2,10,Free,0,Everyone,Game;Simulation,27-04-2026,11.16.19
Meta Wallet Plus 2026,Social,4,0,90.5,50,Free,0,Everyone,Family,06-11-2025,5.4.84
Browser AI 2026,Libraries_And_Demo,3.6,5,135.1,10,Free,0,Teen,Libraries And Demo,10-01-2025,2.1.45
Meta WhatsApp Messenger,Entertainment,,15,33.9,500,Free,0,Everyone,Entertainment,02-02-2024,2.9.72
Meta Wallet Go,Music,4,1,34.4,10,Free,0,Everyone,Tools;Creativity,23-02-2024,1.18.91
Next Health,Game,3,331,959.9,10000,Free,0,Everyone,Game;Card,12-10-2024,11.13.87
My Strike 2024,Game,4.3,1,90.05,50,Free,0,Teen,Game;Shooter,27-10-2025,Varies with device
My Learn 2025,Social,,7,61.9,500,Free,0,Everyone,Artificial Intelligence;Creativity,04-08-2025,11.19.75
Super Facebook 2023,Social,,6,64.1,500,Free,0,Everyone,Family,30-05-2026,8.15.80
Health Now,Music,3.5,4618,101.3,100000,Free,0,Everyone,Tools,11-12-2024,12.11.12
AI Telegram,GAME,4.2,162,90.05,5000,Free,0,Everyone,Game;Simulation,02-06-2025,Varies with device
Dash Space,SOCIAL,4.2,26,55,1000,Free,0,Everyone,Family,03-01-2024,1.4.68
AI Learn App,Game,4,20,385.5,500,Free,0,Everyone,Game;Shooter,21-09-2025,12.14.41
Neo Instagram App,Dating,3.6,23,129.6,500,Free,0,Adults only 18+,Dating,20-01-2025,12.1.34
Maker 3D 2025,Social,3.7,956,86.3,50000,Free,0,Everyone,Family,27-07-2025,10.8.68
Daily Maker,Music,4,85577,8.4,5000000,Free,0,Everyone,Tools,07-03-2026,2.18.14
Health 2025,Game,4.9,212,160.5,10000,Free,0,Teen,Game;Strategy,08-06-2026,15.12.51
Lite Editor Premium,Video_Players,3.1,458,248,10000,Free,0,Everyone,Video Players;Creativity,15-03-2025,1.3.11
Ultra Wallet,Social,4.3,166,27.4,5000,Free,0,Teen,Family,06-07-2025,12.2.60
Ultra Health Premium,Social,4,0,38.9,10,Free,0,Everyone,Family,05-08-2023,11.18.33
Hyper Dash App,Game,4.3,3,871.2,50,Free,0,Teen,Game;Shooter,15-04-2024,11.20.36
Facebook 2026,Communication,4.1,653,27,50000,Free,0,Everyone,Communication,16-06-2024,15.18.42
Super Pay Hub,Books_And_Reference,4.6,453,56.4,50000,Free,0,Everyone,Books And Reference,11-01-2025,6.13.79
Epic Dash Pro,Social,4.3,363,98.1,10000,Free,0,Everyone,Family,17-09-2025,9.15.69
Meta Wallet Go,Music,4,1,34.4,10,Free,0,Everyone,Tools;Creativity,23-02-2024,1.18.91
Maker Plus,Books_And_Reference,3,4201,142.1,100000,Free,0,Everyone 10+,Books And Reference,18-01-2026,8.1.98
Hyper Maker Online 2025,Personalization,4,1,101.1,10,Free,0,Everyone,Personalization,25-12-2025,9.1.9
Telegram AI,Weather,4.5,2081,100.9,100000,Free,0,Everyone,Weather,31-01-2025,7.17.38
Fit Space 2023,GAME,4.3,4,1283.1,10,Free,0,Everyone,Game;Board,30-04-2026,1.15.4
Easy Chat Now,  game  ,4.3,0,90.05,100,Free,0,Everyone,Game;Strategy,15-02-2026,Varies with device
Super Pay Premium,Game,3.5,27,599.2,1000,Free,0,Everyone,Game;Shooter,29-08-2024,5.20.67
Super Instagram,Entertainment,4,4,148.8,100,Paid,0.99,Adults only 18+,Entertainment,03-12-2025,11.11.85
Next Pay Max,Social  ,4.3,48,146.8,1000,Free,0,Everyone 10+,Social,27-04-2026,14.19.60
Smart Craft,Maps_And_Navigation  ,4.3,19,31.6,1000,Free,0,Everyone,Maps And Navigation,20-08-2025,6.18.9
Smart Health Go,  social  ,4.2,5,17.2,100,Free,0,Teen,Family,25-06-2025,5.0.48
AI Telegram App,  Shopping,4.9,19,90.05,1000,Free,0,Everyone,Shopping,22-01-2026,Varies with device
Learn Now,BUSINESS,3.6,130,26.6,5000,Free,0,Everyone,Business,29-02-2024,4.17.30
Drive 2024,VIRTUAL_REALITY,4.3,703,178.8,50000,Free,0,Adults only 18+,Virtual Reality,08-03-2026,6.5.29
Lite Learn 3D,Social,4.7,1790,41.5,50000,Free,0,Mature 17+,Artificial Intelligence,14-12-2023,3.11.53
Ultra Maker 2023,Finance,,0,21.4,10,Free,0,Everyone,Finance;Creativity,22-04-2026,1.5.4
Daily Dash App,Music  ,3.9,48,14.4,1000,Free,0,Everyone,Tools,18-04-2024,7.19.82
Pro Drive 3D,Game,4.4,186,867.3,5000,Free,0,Everyone,Game;RPG,28-05-2026,13.15.27
Neo Learn Plus,Game,4.3,11,90.05,500,Free,0,Everyone 10+,Game;Board,05-08-2025,Varies with device
My Strike AI,Personalization,4,1,128.2,10,Free,0,Everyone,Personalization,05-08-2025,15.18.37
Instagram Pro 2024,Game,4.5,12106,,1000000,Free,0,Everyone,Game;Card,09-12-2024,Varies with device
Quick Drive Premium 2024,Social,4.3,2,20.1,100,Free,0,Everyone,Artificial Intelligence,02-07-2025,12.9.12
Easy Tracker Go,Beauty,3.8,5,9.5,10,Free,0,Teen,Beauty,19-12-2025,7.4.95
Smart Editor 2023,Social,4.3,40538,28.4,1000000,Free,0,Mature 17+,Family,13-04-2026,15.2.50
Meta Player AI,  Social,3.4,4742,117.6,100000,Free,0,Teen,Social,18-09-2025,14.2.13
Neo Instagram 2024,Social,3.4,246,58.8,5000,Free,0,Everyone,Family,13-01-2025,2.16.98
Smart Strike,Dating,4.7,195,26.5,10000,Free,0,Mature 17+,Dating,04-08-2025,15.5.61
Neo Telegram Premium,  social  ,4.7,359,,10000,Free,0,Everyone,Family,23-07-2025,2.17.1
Smart Dash Online,Game,4,22,1440.9,500,Free,0,Everyone,Game;Puzzle,23-10-2025,5.18.95
Smart Dash,Social,3.9,1418,149.2,50000,Free,0,Everyone,Artificial Intelligence;Creativity,22-06-2025,12.18.37
Connect Premium 2023,Productivity,,9,70.9,500,Free,0,Everyone,Productivity,27-04-2024,2.5.7
Meta Player Pro,  Dating,4,4,82.3,50,Free,0,Mature 17+,Dating,16-04-2026,11.11.19
Neo Wallet 3D,Music,4,2,90.05,50,Free,0,Everyone 10+,Tools,14-08-2025,Varies with device
Ultra Editor App 2025,Social,3.3,5,37.1,50,Free,0,Everyone,Family,07-10-2023,6.17.97
Wallet Premium 2026,Entertainment,3.9,437,83.6,50000,Free,0,Everyone,Entertainment,18-11-2025,10.13.14
Super Health Space 2024,Social,3.8,16,90.3,500,Free,0,Adults only 18+,Family;Creativity,20-05-2026,5.3.72
Daily Chat Premium,Maps_And_Navigation,3.7,30,90.05,1000,Free,0,Everyone,Maps And Navigation,30-12-2024,Varies with device
AI Connect 2026,Travel_And_Local,4.5,13,60.5,500,Free,0,Mature 17+,Travel And Local;Creativity,14-03-2026,6.3.50
Epic Tracker,Parenting,4.7,7893,90.05,500000,Free,0,Teen,Parenting,03-04-2026,Varies with device
Wallet Hub 2025,Game,3.2,399,931.1,10000,Free,0,Teen,Game;Simulation,06-12-2025,5.20.87
Super Editor App,Music,4,1,37.7,100,Free,0,Everyone,Tools,24-10-2024,14.9.97
Craft Now 2026,Finance,2.7,5,31,100,Free,0,Everyone,Finance,24-10-2024,7.14.60
Browser Go_2765,social,3.7,5,97.9,50,Free,0,Everyone,Family,12-05-2026,9.8.50
Meta Learn 2026,Productivity,3.5,2356,54.8,50000,Free,0,Everyone,Productivity,04-03-2026,5.10.22
Quick Drive Premium,  music  ,4,3,90.05,100,Free,0,Everyone,Tools;Creativity,09-06-2026,Varies with device
Next Wallet,  Books_And_Reference,,18,90.8,1000,Free,0,Everyone,Books And Reference,15-05-2025,15.0.59
AI Maker 3D,Game,4.2,23,1683.1,1000,Free,0,Teen,Game;Card,27-04-2026,8.18.64
Next VPN,Social,3.7,3496,69.3,100000,Free,0,Teen,Art And Design,27-08-2024,12.8.19
Pro Tracker App,Books_And_Reference  ,3.8,0,70.5,50,Free,0,Everyone,Books And Reference,18-02-2023,13.3.74
Epic Fit Go,Music,4.3,14,54.4,500,Free,0,Mature 17+,Tools,11-09-2025,12.15.55
Lite Craft,Music,3.6,210,56,10000,Free,0,Everyone,Tools,15-07-2025,1.14.37
Crypto Browser,Dating,4,2496,,100000,Free,0,Mature 17+,Dating,28-05-2024,13.6.44
Easy Telegram Premium,Travel_And_Local  ,4.1,45659,39.1,5000000,Free,0,Everyone,Travel And Local,04-03-2024,9.1.81
Drive Space 2026,Events,3.8,3,142.4,10,Free,0,Everyone 10+,Events,03-08-2024,10.16.82
Daily Strike,books_and_reference,4.4,172,,5000,Free,0,Teen,Books And Reference,20-04-2024,Varies with device
VPN Pro 2024,  game  ,4.3,2,435.9,50,Free,0,Everyone,Game;Card,24-02-2026,5.3.12
Ultra Learn Pro,Finance,4.2,24,8.9,500,Free,0,Everyone,Finance,24-09-2025,9.2.29
Neo Wallet,Auto_And_Vehicles,4.1,34160,106.3,1000000,Free,0,Everyone,Auto And Vehicles,01-10-2025,2.16.73
Fit Plus,Auto_And_Vehicles,4.4,496,73.3,10000,Free,0,Everyone,Auto And Vehicles,25-04-2026,5.5.4
Strike Max 2024,Social,4,3,82.2,10,Free,0,Unrated,Medical,03-01-2025,9.19.99
Hyper Dash,Parenting,4.7,2170,,100000,Free,0,Teen,Parenting,16-10-2025,Varies with device
Smart Chat Now,Productivity,3.6,2303,65.8,100000,Free,0,Teen,Productivity,29-03-2024,15.9.89
Fit Hub 2026,Social,4.6,21,75.8,500,Free,0,Everyone,Artificial Intelligence,04-07-2025,10.12.93
Daily Fit,News_And_Magazines,3.7,40,50.5,1000,Free,0,Everyone,News And Magazines,28-04-2026,15.17.69
